model-1594054321,1594054330.946,0.8,0.1346,0.69,0.1413,1
model-1594054321,1594054331.054,0.6,0.158,0.53,0.167,2
model-1594054321,1594054331.151,0.61,0.1547,0.53,0.1757,2
model-1594054321,1594054331.251,0.62,0.1567,0.64,0.1511,2
model-1594054321,1594054331.349,0.55,0.1666,0.55,0.1733,2
model-1594054321,1594054331.445,0.69,0.1514,0.67,0.1508,2
model-1594054321,1594054331.54,0.59,0.1587,0.64,0.1514,2
model-1594054321,1594054331.636,0.72,0.1404,0.62,0.1553,2
model-1594054321,1594054331.733,0.59,0.1648,0.58,0.1673,2
model-1594054321,1594054331.832,0.64,0.161,0.72,0.1404,2
model-1594054321,1594054331.94,0.61,0.1466,0.71,0.1413,2
model-1594054321,1594054332.037,0.67,0.1543,0.59,0.1682,2
model-1594054321,1594054332.139,0.71,0.1545,0.69,0.1384,2
model-1594054321,1594054332.235,0.68,0.1552,0.64,0.1517,2
model-1594054321,1594054332.331,0.58,0.1653,0.7,0.1569,2
model-1594054321,1594054332.434,0.74,0.1555,0.74,0.1354,2
model-1594054321,1594054332.531,0.69,0.1568,0.63,0.169,2
model-1594054321,1594054332.628,0.66,0.167,0.68,0.1562,2
model-1594054321,1594054332.751,0.56,0.1686,0.76,0.1395,2
model-1594054321,1594054332.861,0.68,0.1552,0.68,0.1561,2
model-1594054321,1594054332.965,0.7,0.1492,0.7,0.1437,2
model-1594054321,1594054333.07,0.66,0.1591,0.74,0.1328,2
model-1594054321,1594054333.174,0.73,0.1509,0.61,0.174,2
model-1594054321,1594054333.283,0.63,0.1484,0.62,0.1728,2
model-1594054321,1594054333.38,0.65,0.1526,0.73,0.1319,2
model-1594054321,1594054333.476,0.72,0.1326,0.67,0.1567,2
model-1594054321,1594054333.582,0.65,0.1519,0.65,0.1478,2
model-1594054321,1594054333.69,0.59,0.1589,0.65,0.1459,2
model-1594054321,1594054333.802,0.63,0.1574,0.6,0.1666,2
model-1594054321,1594054333.912,0.65,0.1576,0.67,0.1486,2
model-1594054321,1594054334.007,0.59,0.1702,0.7,0.1376,2
model-1594054321,1594054334.106,0.6,0.1624,0.65,0.1446,2
model-1594054321,1594054334.203,0.68,0.1465,0.69,0.1388,2
model-1594054321,1594054334.301,0.57,0.1613,0.69,0.138,2
model-1594054321,1594054334.4,0.63,0.1566,0.65,0.1549,2
model-1594054321,1594054334.497,0.67,0.1517,0.63,0.1652,2
model-1594054321,1594054334.598,0.72,0.1441,0.64,0.154,2
model-1594054321,1594054334.694,0.67,0.1625,0.67,0.1457,2
model-1594054321,1594054334.793,0.69,0.1434,0.72,0.131,2
model-1594054321,1594054334.889,0.66,0.1489,0.59,0.1652,2
model-1594054321,1594054334.938,0.8,0.1274,0.69,0.1405,2
model-1594054321,1594054335.054,0.7,0.1403,0.74,0.1321,3
model-1594054321,1594054335.151,0.65,0.1389,0.7,0.1452,3
model-1594054321,1594054335.249,0.66,0.1504,0.72,0.1309,3
model-1594054321,1594054335.348,0.61,0.1497,0.7,0.1405,3
model-1594054321,1594054335.452,0.72,0.1393,0.71,0.137,3
model-1594054321,1594054335.578,0.68,0.1448,0.61,0.166,3
model-1594054321,1594054335.706,0.76,0.1259,0.65,0.1517,3
model-1594054321,1594054335.81,0.63,0.1569,0.74,0.1347,3
model-1594054321,1594054335.931,0.69,0.146,0.64,0.1594,3
model-1594054321,1594054336.025,0.69,0.1303,0.74,0.1257,3
model-1594054321,1594054336.135,0.71,0.1448,0.66,0.1596,3
model-1594054321,1594054336.242,0.71,0.1422,0.64,0.1639,3
model-1594054321,1594054336.338,0.68,0.1425,0.74,0.1314,3
model-1594054321,1594054336.438,0.61,0.1557,0.71,0.1445,3
model-1594054321,1594054336.537,0.76,0.1421,0.73,0.1266,3
model-1594054321,1594054336.63,0.72,0.1435,0.69,0.1464,3
model-1594054321,1594054336.727,0.64,0.1596,0.73,0.1365,3
model-1594054321,1594054336.823,0.6,0.1592,0.76,0.1332,3
model-1594054321,1594054336.922,0.67,0.1463,0.69,0.1439,3
model-1594054321,1594054337.032,0.72,0.14,0.72,0.1257,3
model-1594054321,1594054337.131,0.65,0.1504,0.78,0.13,3
model-1594054321,1594054337.23,0.76,0.1362,0.7,0.1512,3
model-1594054321,1594054337.341,0.66,0.1398,0.71,0.1509,3
model-1594054321,1594054337.452,0.65,0.1452,0.7,0.1336,3
model-1594054321,1594054337.56,0.72,0.1237,0.64,0.1538,3
model-1594054321,1594054337.662,0.67,0.1451,0.75,0.1193,3
model-1594054321,1594054337.772,0.62,0.1512,0.68,0.1541,3
model-1594054321,1594054337.87,0.66,0.15,0.67,0.1474,3
model-1594054321,1594054337.979,0.68,0.1512,0.67,0.1425,3
model-1594054321,1594054338.088,0.61,0.1656,0.69,0.1318,3
model-1594054321,1594054338.19,0.62,0.1584,0.63,0.1432,3
model-1594054321,1594054338.286,0.71,0.1365,0.75,0.1252,3
model-1594054321,1594054338.383,0.66,0.1528,0.72,0.1236,3
model-1594054321,1594054338.479,0.61,0.1479,0.68,0.1557,3
model-1594054321,1594054338.579,0.66,0.1482,0.77,0.1288,3
model-1594054321,1594054338.673,0.73,0.1383,0.73,0.1222,3
model-1594054321,1594054338.771,0.66,0.1555,0.69,0.1481,3
model-1594054321,1594054338.869,0.7,0.1325,0.72,0.1299,3
model-1594054321,1594054338.967,0.7,0.14,0.71,0.1382,3
model-1594054321,1594054339.019,0.67,0.1249,0.72,0.1291,3
model-1594054321,1594054339.122,0.71,0.1345,0.63,0.1592,4
model-1594054321,1594054339.219,0.72,0.1271,0.74,0.1216,4
